Term,Definition,"Notes, Examples"
cat,Várady macskája nagyon szép. Az anyja meghalt. Nem a macska anyja. Nem a macskáé. Váradyé.,Varady's cat is beautiful. His mother is dead. Not the cat's mother. Varady's.
wonder,"Az ég kék. A fű zöld. A lányok csinosak és okosak. Az összes pasas hatalmas barom. Nem csoda, hogy nekem nincs.",The sky is blue. Grass is green. The girls are pretty and clever. All guys are huge assholes. No wonder (that) I don't have one/any.
poet,"A ló meghal, a madarak kirepülnek. Kassák rossz költő. Már nem ír verseket. Meghalt.","The horse dies, the birds fly away. Kassak is a poor/bad poet. He doesn't write poems any more. He died / he is dead."
our,"A kutyáitok nem erősek. A macskáink igen. A tieitek nem, a mieink igen.","Your dogs aren't strong. Our cats are. Yours aren't, ours are."
mine,"A te szoknyád is jó, de az enyém jobb. Remélem, ezt te is látod.","Your skirt is good too, but mine is better. I hope you can see this, too / I hope you are also able to see this."
elephant,"Az elefántoknak nagy fülük van. Az övék nagyobb, mint a miénk. Nem csak a fülük.",Elephants have big ears. Theirs are bigger than ours. Not only their ears…
Sun,A Nap a Föld körül kering. Álmodban. Fordítva van.,The Sun revolves around the Earth. In your dreams. It's the other way round.
stand sy,"Folyamatosan az az érzésem van, hogy nem bírlak elviselni. Ezért tanulok és nem a szemedbe nézek.",I always have the feeling that I can't stand you. This is why I learn and don't look into your eyes.
How are you today?,Hogy vagy?,
"Fine, thanks. What about you?",Kösz jól. És te?,
I'm OK. Where are you going?,Remekül. Hova mész?,
I'm off to work. And you?,Melózni. És te?,
Just hanging around.,Én csak mászkálok.,
Good for you. How come you have time?,Jó neked. Hogyhogy ráérsz?,
"Well, no school, no job, no problem. :-)","Nos, nincs suli, nincs meló, nincs gond.",
"Yeah, that sounds right.","Aha, az jól hangzik.",
"Actually, I'm somewhat depressed.",Igazából kissé szar kedvem van.,
"You know, it's kind of sad to be unemployed.","Tudod, elég vacak munkanélkülinek lenni.",
"Sure, that must be tough.","Aha, az tényleg kemény lehet.",
"It is, believe me, it is.","Az, hidd el nekem. Az.",
What's the worst part of it?,Mi a legrosszabb része?,
The worst? Probably the feeling that you are useless.,A legrosszabb? Talán hogy haszontalan vagy.,
Come on! I'm sure your family needs you.,Ne már! A családodnak tuti szüksége van rád,
"That's true. However, sometimes it's not enough.","Az igaz. Akárhogy is, az néha nem elég.",
"Oh, I understand. Anyway, I have to go now. I'm late.","Értem. Na bocsi, de mennem kell. Elkésem.",
All right. Take care.,Oksi. Légy jó!,
like,"Olyan okos vagy, mint én. Ha okosabb lennél, megijednék.","You are very clever just like me. If you are cleverer, I would be scared."
know,"Ha tudtam volna régen, amit ma már tudok, akkor most nem azt tenném, amit teszek.","Had I known that I just know, then I wouldn't have done that I do now."
most beautiful,"Hufnágel Pisti volt a legszebb férfi, akit ismertem.",Steve Hufnagel was the most beautiful men that I have been knowing.
honey,"Micimackó evett egy kis mézet, mielőtt meglátogatta Malackát.",Winnie The Pooh had eaten a little bit of honey before he visited Piglet.
roar,"Azt hiszem, nem volt okos dolog üvöltöznöm a gyerekkel.","I think, it wasn't a very clever thing to keep roaring with the kid."
gangster,"Apám fiatalabb volt mint én, amikor elhatározta, hogy bűnöző lesz.",My father was younger than I'm nowadays when he decided to become a gengster.
divorce,"Ha jobban szerette volna anyámat, nem váltak volna el.","Had he loved my mother, they wouldn't have divorced."
frequently,"Ha nem cigiztem volna annyit, nem lennék ilyen gyakran beteg.","Had I smoked so lot, I wouldn't have been ill so frequently."
taste,"Aki olyan csinos mint te, annak jobb ízlése is lehetne.","Who is so pretty like you, she would have better taste (than you have)."
like that,"Nem tudom, miért beszélsz így velem. Tán nem szeretlek eléggé?",I don't know why you speak to me like that. Maybe I don't rather love you?
while,"Amíg az én házamban laksz, azt teszed amit én mondok.","While you live in my house, you are doing what I say."
scare,"Ha fekete macskát látok, megijedek és elszaladok.","If I see a black cat, I will scare and run away."
long time ago,"Tudom rég elmúlt, az amikor még kissrác voltam.","I know, it was long time ago, when I was kiddie."
rose,"Azt hiszed, hogy nyílik még a sárga rózsa?",Do you think that burst into bloom the yellow rose yet?
dragon,"A sárkány egy fél órán át röhögött, miután megette a királyfit.",The dragon was laughing for half an hour after he have swallowed the princess.
lucky,Te szerencsésebb vagy mint én: kevesebb a pattanásod.,"You are more fortunate than me, you have less spot than I have."
born,"Ha anyám tudta volna, hogy ilyen hülye leszek, sose születtem volna meg.","Had my mother known that I'm so silly, I would had born never."
"to give sy sg (gave, given)",ad,I give you a kiss.
"to stand (stood, stood)",áll,We stand here.
"to sleep (slept, slept)",alszik,You sleep all night
to have a conversation with sy,beszélget,We have a good conversation.
to wrestle,birkózik,Tom and Jerry wrestled all day long.
"to eat (ate, eaten)",eszik,They eat ice-cream.
"to feel (felt, felt)",érez,He feels fine.
"to understand (understood, understood)",ért,I can understand some of what you say.
"to be cold (was cold, have been cold)",fázik,We are cold because it's cold.
"to lay (laid, laid)",fekszik,She lays beside me.
to paint,fest,Picasso paints a picture.
"to catch( caught, caught), to grab, to handle, to hold",fog,Michael Jordan catches the ball.
"to run (ran, run)",fut,"Run, Forest, run."
to type,gépel,The boss types a letter.
"to think (thought, thought)",gondol,Think about it!
"to hear (heard, heard)",hall,We can hear you.
"to drink (drank, drunk)",iszik,What do you drink?
"to write (wrote, written)",ír,Szilágyi Örzséböt has written her letter.
to walk,jár,We are walking down the street.
"to get (got, gotten)",kap,She gets angry pretty fast.
"to see (saw, seen)",lát,I see the light at the end of the tunnel.
to warm up,melegszik,The iceman warmed up and disappeared.
to wash,mosakodik,She washes her face.
to wash,mos,Iluska washed socks by the riverside.
to laugh (at sy),nevet,We are all laughing at Kálmán Tarnay.
"to look at, to watch",néz,I'm looking at you.
"to read (read, read)",olvas,What do you read?
"to take a piss (took, taken), to pee",pisil,Tara took a piss in the middle of the night.
