English,Hungarian
aaron,Áron
abandon,elhagyott
abandoned,elhagyatott
abby,Abby
ability,képesség
able,képes
aboard,fedélzeten
about,ról ről
above,felett
abroad,külföldön
absolute,abszolút
absolutely,teljesen
absurd,abszurd
abuse,visszaélés
academy,akadémia
accent,hangsúly
accept,elfogad
accepted,elfogadott
access,hozzáférés
accident,baleset
accidentally,véletlenül
according,szerint
account,beszámoló
accounts,fiókok
accused,vádlott
ace,ász
achieve,elér
acid,sav
across,át
act,törvény
acted,cselekedett
acting,ható
action,akció
actions,cselekedetek
active,aktív
activities,tevékenységek
activity,tevékenység
actor,színész
actors,színészek
actress,színésznő
acts,cselekedet
actual,tényleges
actually,tulajdonképpen
adam,Ádám
add,hozzáad
added,hozzáadott
addition,kiegészítés
address,cím
admiral,admirális
admire,csodál
admit,beismerni
admitted,felvételt nyer
adopted,fogadott
adorable,imádni való
adrian,Adrianus
adult,felnőtt
adults,felnőttek
advance,előleg
advanced,fejlett
advantage,előny
adventure,kaland
advice,tanács
advise,tanácsol
affair,ügy
affairs,ügyek
affect,hatással van
affected,érintett
afford,enged ki
afraid,félelmetes
africa,Afrika
african,afrikai
after,után
afternoon,délután
afterwards,később
again,újra
against,ellen
age,kor
agency,ügynökség
agent,ügynök
agents,ügynökök
ages,korosztály
aggressive,agresszív
ago,ezelőtt
agree,egyetért
agreed,egyetért
agreement,megegyezés
ahead,előre
ahem,hé
ahh,Ahh
aid,támogatás
aii,aii
aim,cél
ain,ain
air,levegő
aircraft,repülőgép
airport,repülőtér
alan,Alan
alarm,riasztás
albert,Albert
album,album
alcohol,alkohol
alert,éber
alex,Alex
alexander,Sándor
ali,ali
alibi,alibi
alice,Alice
alicia,Alicia
alien,idegen
aliens,idegenek
alike,hasonló
alive,élő
all,minden
allen,allen
alley,sikátor
alliance,szövetség
allison,allison
allow,lehetővé teszi
allowed,megengedett
almost,majdnem
alone,egyedül
along,mentén
alpha,alfa
already,már
alright,rendben
also,is
alternative,alternatív
although,habár
